No,Clinic Name,Location (Jakarta),Contact (Phone/WA),Social Media / Source
1,Jakarta Smile,"Senen, Central Jakarta",+62 21-8590-8633,@thejakartasmile
2,FDC Dental - Menteng,"Setiabudi, South Jakarta",+62 811-1927-6571,@fdcdentalclinic
3,Audy Dental - PIK,"Pantai Indah Kapuk, North Jakarta",+62 21-2251-2487,@audydental
4,SATU Dental - Kemang,"Mampang Prapatan, South Jakarta",+62 811-1910-0163,@satudental
5,DHS (Dental Home Smile),"Cawang, East Jakarta",+62 817-7548-8246,@dentalhomesmile
6,BUMI Dental Clinic,"Kebayoran Lama, South Jakarta",+62 851-8310-6828,@bumidental.id
7,RSGM YARSI,"Cempaka Putih, Central Jakarta",+62 811-1687-264,@rsgmyarsi
8,SmileUp! Dental Clinic,"Petogogan, South Jakarta",+62 21-2930-6831,@smileupdentalclinic
9,NK Health - Kebon Jeruk,"Kebon Jeruk, West Jakarta",+62 851-8682-7787,@nkhealth
10,Smiluxe Dental,South Jakarta,+62 811-2828-9191,@smiluxedental
11,Tooth District Dental,"Bintaro, South Jakarta",+62 811-1234-567,@toothdistrict.id
12,FDC - Tanjung Duren,"Grogol Petamburan, West Jakarta",+62 811-1220-5822,@fdcdentalclinic
13,SATU Dental - Bina Marga,"Cipayung, East Jakarta",+62 811-1910-0163,@satudental
14,Lily Clinic,West Jakarta,+62 21-5441-675,@lilyclinic.jkt
15,Wijayakusuma Dental,South Jakarta,+62 821-1107-1775,@wijayakusuma.dentalcare
16,Senyum Klinik Gigi,South Jakarta,+62 815-1600-924,@senyumdental
17,TntDental Klinik,Jakarta,+62 822-3143-2315,@tnt_dentalcare
18,Bioesthetic Dental,West Jakarta,+62 813-1628-0980,@bioestheticdental
19,RSKGM UI,"Senen, Central Jakarta",+62 21-3904-441,@rskgmui
20,Orange Dental,"Rawamangun, East Jakarta",+62 811-1582-121,@orangedentalid
21,Dentista Klinik Gigi,"Kelapa Gading, North Jakarta",+62 21-4585-1234,@dentista.kelapagading
22,Sky Dental Care,"Tebet, South Jakarta",-,@skydentalcaretebet
23,Monodental Klinik Gigi,Jakarta Pusat,-,@monodentalclinic
24,SATU Dental - Jagakarsa,"Jagakarsa, South Jakarta",+62 811-1910-0163,@satudental
25,Audy Dental - Kuningan,"Setiabudi, South Jakarta",+62 21-5296-1555,@audydental
26,Dentistique Dental,"Duren Sawit, East Jakarta",+62 21-8661-3932,@dentistique.id
27,Escalade Dental,"Mega Kuningan, South Jakarta",+62 21-5794-7792,@escaladedental
28,Noto Puri Mansion,"Kembangan, West Jakarta",+62 21-2252-1234,@noto.puri
29,Jakarta Dental Project,"Pancoran, South Jakarta",-,@jktdentalproject
30,Jasmine Dental Clinic,"Ciracas, East Jakarta",+62 812-1234-5678,@jasmine_dentalclinic
31,FDC - Kelapa Gading,"Kelapa Gading, North Jakarta",+62 811-1220-5811,@fdcdentalclinic
32,Gracia Dental Care,Jakarta Barat,-,@graciadentalcare
33,Mari Dental Clinic,"Jelambar, West Jakarta",-,@maridentalclinic
34,Wentist Dental,East Jakarta,-,@wentistdental
35,Devya Dental Clinic,South Jakarta,+62 812-8348-4373,@devya_dentalclinic
36,OK Dental Klinik,South Jakarta,-,@ok.dental
37,Ahmad Dental Clinic,Jakarta,-,@ahmaddental.co.id
38,SATU Dental - Joglo,"Kembangan, West Jakarta",+62 811-1910-0163,@satudental
39,Audy Dental - Kemang,"Mampang Prapatan, South Jakarta",+62 21-7179-4437,@audydental
40,TARS Dental Care,"Setiabudi, South Jakarta",-,@tars.dent
41,Indodentist,Jakarta,-,@indodentist
42,Steven Dental Care,Jakarta,-,@stevendentalcareclinic
43,Family Dentistry,Jakarta,-,@familydentistry.id
44,Pixel Dental,Jakarta,-,@pixeldental.id
45,CS Dental Aesthetic,"Kemang, South Jakarta",+62 21-7179-1234,@cs_dental_kemangjkt
46,SATU Dental - Citra 6,"Kalideres, West Jakarta",+62 811-1910-0163,@satudental
